,date,user,activity,timestamp,x-axis,y-axis,z-axis
46,1970-01-01 00:01:36.000,35,Standing,96002452000.0,2.64,9.28,2.96
47,1970-01-01 00:01:36.500,35,Standing,96502330000.0,2.6,9.34,2.87
48,1970-01-01 00:01:37.000,35,Standing,97002330000.0,2.6,9.34,2.87
49,1970-01-01 00:01:37.500,35,Standing,97552318000.0,2.6,9.3,2.87
50,1970-01-01 00:01:38.000,35,Standing,98002299000.0,2.45,9.34,2.96
51,1970-01-01 00:01:38.500,35,Standing,98512340000.0,2.49,9.38,2.79
52,1970-01-01 00:01:39.000,35,Standing,99012340000.0,2.53,9.3,2.96
53,1970-01-01 00:01:39.500,35,Standing,99512309000.0,2.56,9.28,2.96
54,1970-01-01 00:01:40.000,35,Standing,100012309000.0,2.53,9.38,2.79
55,1970-01-01 00:01:40.500,35,Standing,100532420000.0,2.53,9.34,2.83
56,1970-01-01 00:01:41.000,35,Standing,101042338000.0,2.53,9.34,2.87
57,1970-01-01 00:01:41.500,35,Standing,101542338000.0,2.56,9.34,2.96
58,1970-01-01 00:01:42.000,35,Standing,102042644000.0,2.56,9.34,2.96
59,1970-01-01 00:01:42.500,35,Standing,102502330000.0,2.6,9.34,2.96
60,1970-01-01 00:01:43.000,35,Standing,103002360000.0,2.53,9.34,2.91
61,1970-01-01 00:01:43.500,35,Standing,103512279000.0,2.49,9.34,2.83
63,1970-01-01 00:01:44.500,35,Standing,104512309000.0,2.49,9.34,2.83
64,1970-01-01 00:01:45.000,35,Standing,105012309000.0,2.45,9.3,2.87
65,1970-01-01 00:01:45.500,35,Standing,105512309000.0,2.53,9.34,2.87
66,1970-01-01 00:01:46.000,35,Standing,106062297000.0,2.53,9.34,2.91
67,1970-01-01 00:01:46.500,35,Standing,106512340000.0,2.6,9.28,2.91
68,1970-01-01 00:01:47.000,35,Standing,107012309000.0,2.6,9.34,2.87
69,1970-01-01 00:01:47.500,35,Standing,107512340000.0,2.53,9.34,2.83
70,1970-01-01 00:01:48.000,35,Standing,108012309000.0,2.6,9.3,2.87
71,1970-01-01 00:01:48.500,35,Standing,108512309000.0,2.64,9.3,2.91
72,1970-01-01 00:01:49.000,35,Standing,109012309000.0,2.45,9.3,2.87
73,1970-01-01 00:01:49.500,35,Standing,109512279000.0,2.45,9.3,2.83
74,1970-01-01 00:01:50.000,35,Standing,110012279000.0,2.53,9.38,2.87
75,1970-01-01 00:01:50.500,35,Standing,110512309000.0,2.49,9.38,2.87
76,1970-01-01 00:01:51.000,35,Standing,111022349000.0,2.49,9.43,2.87
77,1970-01-01 00:01:51.500,35,Standing,111522319000.0,2.53,9.34,2.79
78,1970-01-01 00:01:52.000,35,Standing,112022380000.0,2.41,9.34,2.83
79,1970-01-01 00:01:52.500,35,Standing,112522319000.0,2.53,9.34,2.83
80,1970-01-01 00:01:53.000,35,Standing,113022349000.0,2.6,9.3,2.96
81,1970-01-01 00:01:53.500,35,Standing,113542338000.0,2.34,9.43,2.76
82,1970-01-01 00:01:54.000,35,Standing,114042583000.0,2.41,9.34,2.79
84,1970-01-01 00:01:55.000,35,Standing,115042338000.0,2.45,9.43,2.87
85,1970-01-01 00:01:55.500,35,Standing,115542308000.0,2.41,9.38,2.79
86,1970-01-01 00:01:56.000,35,Standing,116042613000.0,2.41,9.43,2.83
87,1970-01-01 00:01:56.500,35,Standing,116542338000.0,2.41,9.38,2.76
88,1970-01-01 00:01:57.000,35,Standing,117042338000.0,2.45,9.38,2.87
89,1970-01-01 00:01:57.500,35,Standing,117542338000.0,2.45,9.3,2.83
90,1970-01-01 00:01:58.000,35,Standing,118092296000.0,2.41,9.38,2.83
91,1970-01-01 00:01:58.500,35,Standing,118512279000.0,2.45,9.38,2.87
92,1970-01-01 00:01:59.000,35,Standing,119012309000.0,2.41,9.34,2.87
93,1970-01-01 00:01:59.500,35,Standing,119512309000.0,2.53,9.34,2.83
94,1970-01-01 00:02:00.000,35,Standing,120012309000.0,2.49,9.34,2.79
95,1970-01-01 00:02:00.500,35,Standing,120512279000.0,2.49,9.38,2.87
96,1970-01-01 00:02:01.000,35,Standing,121012340000.0,2.41,9.34,2.79
97,1970-01-01 00:02:01.500,35,Standing,121512309000.0,2.49,9.34,2.83
98,1970-01-01 00:02:02.000,35,Standing,122012340000.0,2.56,9.34,2.79
99,1970-01-01 00:02:02.500,35,Standing,122512309000.0,2.49,9.38,2.87
100,1970-01-01 00:02:03.000,35,Standing,123012370000.0,2.53,9.38,2.91
101,1970-01-01 00:02:03.500,35,Standing,123532329000.0,2.49,9.34,2.87
102,1970-01-01 00:02:04.000,35,Standing,124042583000.0,2.45,9.43,2.79
103,1970-01-01 00:02:04.500,35,Standing,124542338000.0,2.56,9.38,2.83
4419,1970-01-01 00:38:25.000,13,Jogging,2305002330000.0,-5.13,11.3,-10.106298
4420,1970-01-01 00:38:25.500,13,Jogging,2305522258000.0,-0.42,-10.38,-13.252599
4421,1970-01-01 00:38:26.000,13,Jogging,2306022197000.0,-0.95,-0.69,2.5606253
4422,1970-01-01 00:38:26.500,13,Jogging,2306522258000.0,-0.38,9.11,-9.275456
4423,1970-01-01 00:38:27.000,13,Jogging,2307212199000.0,-2.11,19.57,8.19945
4424,1970-01-01 00:38:27.500,13,Jogging,2307512279000.0,1.99,3.57,8.240311
4425,1970-01-01 00:38:28.000,13,Jogging,2308012279000.0,-1.95,16.66,-0.23154591
4426,1970-01-01 00:38:28.500,13,Jogging,2308503123000.0,6.7,19.42,0.42223078
4427,1970-01-01 00:38:29.000,13,Jogging,2309339915000.0,-5.9,-13.06,-11.876944
4428,1970-01-01 00:38:29.500,13,Jogging,2309542338000.0,-2.83,5.43,-8.812365
4429,1970-01-01 00:38:30.000,13,Jogging,2310150981000.0,-1.73,-7.44,-12.408136
4430,1970-01-01 00:38:30.500,13,Jogging,2310512309000.0,8.89,1.88,7.3958488
4431,1970-01-01 00:38:31.000,13,Jogging,2311013316000.0,0.42,18.12,7.014479
4432,1970-01-01 00:38:31.500,13,Jogging,2311512981000.0,5.94,17.69,-2.3018389
4433,1970-01-01 00:38:32.000,13,Jogging,2312013560000.0,10.76,4.25,6.5513873
4434,1970-01-01 00:38:32.500,13,Jogging,2312513194000.0,-0.84,16.09,7.7772183
4435,1970-01-01 00:38:33.000,13,Jogging,2313022258000.0,5.63,16.4,-1.3075534
4436,1970-01-01 00:38:33.500,13,Jogging,2313532298000.0,8.92,7.16,3.0645783
4437,1970-01-01 00:38:34.000,13,Jogging,2314052287000.0,-6.09,7.55,-8.539958
4438,1970-01-01 00:38:34.500,13,Jogging,2314612315000.0,-1.53,-8.62,-14.015338
6227,1970-01-01 00:53:29.000,5,Standing,3209002209000.0,-0.34,9.89,0.19068487
6228,1970-01-01 00:53:29.500,5,Standing,3209512249000.0,0.08,9.89,0.46309182
6229,1970-01-01 00:53:30.000,5,Standing,3210012218000.0,-0.53,9.92,1.0760075
6230,1970-01-01 00:53:30.500,5,Standing,3210512279000.0,-2.98,9.15,-0.42223078
6231,1970-01-01 00:53:31.000,5,Standing,3211012249000.0,-0.72,9.81,0.53119355
6232,1970-01-01 00:53:31.500,5,Standing,3211512279000.0,-1.53,10.04,0.5720546
6233,1970-01-01 00:53:32.000,5,Standing,3212012279000.0,-1.76,9.81,0.14982383
6234,1970-01-01 00:53:32.500,5,Standing,3212512646000.0,-0.69,9.85,0.6946377
6235,1970-01-01 00:53:33.000,5,Standing,3213012249000.0,-0.57,9.66,1.56634
6236,1970-01-01 00:53:33.500,5,Standing,3213512279000.0,-0.65,9.77,1.2666923
6237,1970-01-01 00:53:34.000,5,Standing,3214022869000.0,-1.42,9.81,1.0351465
6238,1970-01-01 00:53:34.500,5,Standing,3214532268000.0,-0.72,9.77,1.0351465
6239,1970-01-01 00:53:35.000,5,Standing,3215032238000.0,-0.89,9.77,0.9942854
6240,1970-01-01 00:53:35.500,5,Standing,3215532268000.0,-1.04,9.53,0.8036005
6241,1970-01-01 00:53:36.000,5,Standing,3216032238000.0,-1.14,9.81,0.9942854
6242,1970-01-01 00:53:36.500,5,Standing,3216542217000.0,-1.31,9.81,0.95342433
6243,1970-01-01 00:53:37.000,5,Standing,3217042217000.0,-1.04,9.81,0.95342433
6244,1970-01-01 00:53:37.500,5,Standing,3217542248000.0,-0.8,9.77,1.0351465
6245,1970-01-01 00:53:38.000,5,Standing,3218042248000.0,-0.8,9.81,1.1849703
6246,1970-01-01 00:53:38.500,5,Standing,3218542217000.0,-1.57,9.92,0.50395286
6255,1970-01-01 00:53:43.000,28,Standing,3223042278000.0,1.5,10.0,1.2666923
6256,1970-01-01 00:53:43.500,28,Standing,3223542248000.0,1.18,9.96,0.95342433
6257,1970-01-01 00:53:44.000,28,Standing,3224042278000.0,1.69,9.81,0.95342433
6258,1970-01-01 00:53:44.500,28,Standing,3224542278000.0,1.73,9.85,0.95342433
6259,1970-01-01 00:53:45.000,28,Standing,3225042278000.0,1.61,9.96,0.8036005
6260,1970-01-01 00:53:45.500,28,Standing,3225542278000.0,1.33,9.96,0.84446156
6261,1970-01-01 00:53:46.000,28,Standing,3226042278000.0,1.18,10.0,0.7627395
6262,1970-01-01 00:53:46.500,28,Standing,3226542309000.0,1.61,9.92,0.7627395
6263,1970-01-01 00:53:47.000,28,Standing,3227042217000.0,1.5,10.08,0.6946377
6264,1970-01-01 00:53:47.500,28,Standing,3227542278000.0,1.54,9.92,0.9942854
6265,1970-01-01 00:53:48.000,28,Standing,3228042278000.0,1.73,9.72,1.2666923
6266,1970-01-01 00:53:48.500,28,Standing,3228542278000.0,1.65,9.85,1.2666923
6267,1970-01-01 00:53:49.000,28,Standing,3229042889000.0,1.73,9.72,0.92618364
6268,1970-01-01 00:53:49.500,28,Standing,3229502239000.0,1.65,9.92,0.7218784
6269,1970-01-01 00:53:50.000,28,Standing,3230002239000.0,1.46,9.96,0.61291564
6270,1970-01-01 00:53:50.500,28,Standing,3230502209000.0,1.5,9.81,0.6537767
6271,1970-01-01 00:53:51.000,28,Standing,3231012280000.0,1.5,10.0,0.92618364
6272,1970-01-01 00:53:51.500,28,Standing,3231512280000.0,1.57,9.89,0.9942854
6273,1970-01-01 00:53:52.000,28,Standing,3232012280000.0,1.42,9.92,1.1441092
6274,1970-01-01 00:53:52.500,28,Standing,3232512280000.0,1.18,9.92,1.1441092
6276,1970-01-01 00:53:53.500,28,Standing,3233512280000.0,1.5,9.89,0.9942854
6277,1970-01-01 00:53:54.000,28,Standing,3234012280000.0,1.5,9.92,0.9942854
6278,1970-01-01 00:53:54.500,28,Standing,3234512249000.0,1.38,9.96,0.88532263
6279,1970-01-01 00:53:55.000,28,Standing,3235012249000.0,1.5,9.85,1.0760075
6280,1970-01-01 00:53:55.500,28,Standing,3235522320000.0,1.54,9.89,0.9942854
6281,1970-01-01 00:53:56.000,28,Standing,3236032299000.0,1.46,10.0,1.0351465
6282,1970-01-01 00:53:56.500,28,Standing,3236532269000.0,1.54,9.92,1.1849703
6283,1970-01-01 00:53:57.000,28,Standing,3237032238000.0,1.42,9.96,1.1441092
6284,1970-01-01 00:53:57.500,28,Standing,3237532208000.0,1.69,9.85,1.3075534
6285,1970-01-01 00:53:58.000,28,Standing,3238032269000.0,1.69,9.81,1.2258313
6286,1970-01-01 00:53:58.500,28,Standing,3238532269000.0,1.46,9.89,0.5720546
6287,1970-01-01 00:53:59.000,28,Standing,3239032269000.0,1.8,9.92,0.7627395
6288,1970-01-01 00:53:59.500,28,Standing,3239532269000.0,1.23,10.19,0.7627395
6289,1970-01-01 00:54:00.000,28,Standing,3240032269000.0,1.73,9.85,1.1441092
6290,1970-01-01 00:54:00.500,28,Standing,3240532208000.0,1.8,9.92,1.0760075
6291,1970-01-01 00:54:01.000,28,Standing,3241032238000.0,1.54,9.96,0.92618364
6292,1970-01-01 00:54:01.500,28,Standing,3241532238000.0,1.57,9.96,0.9942854
6293,1970-01-01 00:54:02.000,28,Standing,3242042278000.0,1.61,9.85,1.1441092
6294,1970-01-01 00:54:02.500,28,Standing,3242542217000.0,1.8,9.85,1.2258313
6295,1970-01-01 00:54:03.000,28,Standing,3243042248000.0,1.46,9.85,1.1168685
6329,1970-01-01 00:54:20.000,6,Walking,3260002269000.0,1.61,5.71,-2.5606253
6330,1970-01-01 00:54:20.500,6,Walking,3260512279000.0,7.67,7.27,-0.08172209
6331,1970-01-01 00:54:21.000,6,Walking,3261012279000.0,7.27,12.34,-2.6423476
6332,1970-01-01 00:54:21.500,6,Walking,3261502360000.0,10.08,16.02,2.2201166
6333,1970-01-01 00:54:22.000,6,Walking,3262042308000.0,9.7,8.85,-2.4516625
6334,1970-01-01 00:54:22.500,6,Walking,3262532298000.0,8.89,9.7,8.499097
6335,1970-01-01 00:54:23.000,6,Walking,3263082317000.0,9.7,7.01,-2.7240696
6336,1970-01-01 00:54:23.500,6,Walking,3263522258000.0,6.24,3.79,0.040861044
6337,1970-01-01 00:54:24.000,6,Walking,3264112193000.0,5.56,13.38,-3.336985
6338,1970-01-01 00:54:24.500,6,Walking,3264512248000.0,5.33,19.19,0.61291564
6339,1970-01-01 00:54:25.000,6,Walking,3265012279000.0,3.64,8.92,-0.7627395
6340,1970-01-01 00:54:25.500,6,Walking,3265512309000.0,9.77,10.5,6.2789803
6341,1970-01-01 00:54:26.000,6,Walking,3266012279000.0,6.21,2.68,-1.7297841
6342,1970-01-01 00:54:26.500,6,Walking,3266512309000.0,10.99,7.35,-1.525479
6343,1970-01-01 00:54:27.000,6,Walking,3267042308000.0,17.62,12.53,4.1814466
6344,1970-01-01 00:54:27.500,6,Walking,3267512279000.0,5.9,8.85,0.84446156
6345,1970-01-01 00:54:28.000,6,Walking,3268012279000.0,-1.99,6.32,-3.3642259
6346,1970-01-01 00:54:28.500,6,Walking,3268522441000.0,5.67,7.25,-0.53119355
6347,1970-01-01 00:54:29.000,6,Walking,3269032207000.0,-0.8,5.43,-3.2961242
6348,1970-01-01 00:54:29.500,6,Walking,3269532237000.0,3.15,6.7,-1.6480621
6350,1970-01-01 00:54:30.500,6,Walking,3270532298000.0,4.02,6.05,-2.8738933
6351,1970-01-01 00:54:31.000,6,Walking,3271032298000.0,5.9,10.69,-1.525479
6352,1970-01-01 00:54:31.500,6,Walking,3271632182000.0,7.06,6.13,-1.9885708
6353,1970-01-01 00:54:32.000,6,Walking,3272042216000.0,10.0,8.47,3.214402
6354,1970-01-01 00:54:32.500,6,Walking,3272522136000.0,4.52,12.41,-2.6423476
6355,1970-01-01 00:54:33.000,6,Walking,3273032237000.0,11.96,7.67,0.42223078
6356,1970-01-01 00:54:33.500,6,Walking,3273502422000.0,17.5,14.25,13.021052
6357,1970-01-01 00:54:34.000,6,Walking,3274042308000.0,6.13,8.43,-1.56634
6358,1970-01-01 00:54:34.500,6,Walking,3274542308000.0,-1.27,5.79,-3.5276701
6359,1970-01-01 00:54:35.000,6,Walking,3275042247000.0,4.48,7.25,-0.6946377
6360,1970-01-01 00:54:35.500,6,Walking,3275542308000.0,3.15,4.79,-2.2609777
6361,1970-01-01 00:54:36.000,6,Walking,3276042338000.0,6.47,5.28,-2.2201166
6362,1970-01-01 00:54:36.500,6,Walking,3276502208000.0,6.13,8.73,-3.445948
6363,1970-01-01 00:54:37.000,6,Walking,3277022563000.0,7.08,10.46,-2.6423476
6364,1970-01-01 00:54:37.500,6,Walking,3277522288000.0,7.67,12.45,-0.9125633
6365,1970-01-01 00:54:38.000,6,Walking,3278282298000.0,7.44,6.44,0.53119355
6366,1970-01-01 00:54:38.500,6,Walking,3278532237000.0,11.99,6.89,3.2961242
6367,1970-01-01 00:54:39.000,6,Walking,3279032268000.0,4.1,11.69,-0.7218784
6368,1970-01-01 00:54:39.500,6,Walking,3279532237000.0,9.92,5.86,-1.525479
6369,1970-01-01 00:54:40.000,6,Walking,3280032268000.0,12.98,14.25,13.184497
6371,1970-01-01 00:54:41.000,6,Walking,3281012462000.0,1.33,4.99,-2.4108016
6372,1970-01-01 00:54:41.500,6,Walking,3281542400000.0,7.82,6.28,-1.9477097
6373,1970-01-01 00:54:42.000,6,Walking,3282042308000.0,3.68,3.95,-1.56634
6374,1970-01-01 00:54:42.500,6,Walking,3282672343000.0,7.55,5.6,0.46309182
6375,1970-01-01 00:54:43.000,6,Walking,3283022288000.0,7.78,12.98,-1.2258313
6376,1970-01-01 00:54:43.500,6,Walking,3283632274000.0,3.38,5.79,-1.9885708
6377,1970-01-01 00:54:44.000,6,Walking,3284082255000.0,8.92,12.6,1.9885708
6378,1970-01-01 00:54:44.500,6,Walking,3284532298000.0,4.9,10.95,0.23154591
6379,1970-01-01 00:54:45.000,6,Walking,3285022258000.0,8.66,6.66,1.1441092
6380,1970-01-01 00:54:45.500,6,Walking,3285572154000.0,18.35,12.07,8.853226
6381,1970-01-01 00:54:46.000,6,Walking,3286033183000.0,7.12,6.47,-0.0
6382,1970-01-01 00:54:46.500,6,Walking,3286533672000.0,1.23,4.6,-3.1054392
6383,1970-01-01 00:54:47.000,6,Walking,3287052348000.0,7.93,5.43,-1.0351465
6384,1970-01-01 00:54:47.500,6,Walking,3287502269000.0,4.21,4.25,-3.0237172
6385,1970-01-01 00:54:48.000,6,Walking,3288022136000.0,7.16,7.86,-2.9147544
6386,1970-01-01 00:54:48.500,6,Walking,3288522288000.0,6.93,13.48,-2.1792557
6387,1970-01-01 00:54:49.000,6,Walking,3289022411000.0,2.41,6.51,-1.2258313
6388,1970-01-01 00:54:49.500,6,Walking,3289542369000.0,9.28,11.07,2.152015
6389,1970-01-01 00:54:50.000,6,Walking,3290043193000.0,4.6,7.4,-2.982856
6390,1970-01-01 00:54:50.500,6,Walking,3290522197000.0,13.18,5.33,-1.4165162
6392,1970-01-01 00:54:51.500,6,Walking,3291532268000.0,7.44,7.31,0.3405087
6393,1970-01-01 00:54:52.000,6,Walking,3292032207000.0,0.23,6.78,-2.3018389
6394,1970-01-01 00:54:52.500,6,Walking,3292532207000.0,8.35,5.9,0.50395286
6395,1970-01-01 00:54:53.000,6,Walking,3293032207000.0,1.18,4.67,-2.4516625
6396,1970-01-01 00:54:53.500,6,Walking,3293562175000.0,9.04,5.37,-0.95342433
6397,1970-01-01 00:54:54.000,6,Walking,3294012279000.0,2.96,4.37,-2.9147544
6398,1970-01-01 00:54:54.500,6,Walking,3294514201000.0,9.62,7.46,-2.070293
6399,1970-01-01 00:54:55.000,6,Walking,3295032237000.0,8.77,10.8,-1.9477097
6400,1970-01-01 00:54:55.500,6,Walking,3295532298000.0,3.06,7.08,-0.46309182
6401,1970-01-01 00:54:56.000,6,Walking,3296032115000.0,12.07,9.11,4.630918
6402,1970-01-01 00:54:56.500,6,Walking,3296532237000.0,7.93,11.5,1.7978859
6403,1970-01-01 00:54:57.000,6,Walking,3297032207000.0,13.25,7.06,-0.23154591
6404,1970-01-01 00:54:57.500,6,Walking,3297532268000.0,13.91,1.8,4.372132
6405,1970-01-01 00:54:58.000,6,Walking,3298032237000.0,9.62,5.56,1.4982382
6406,1970-01-01 00:54:58.500,6,Walking,3298604838000.0,16.21,3.3,5.8976107
6407,1970-01-01 00:54:59.000,6,Walking,3299022288000.0,9.11,5.75,-0.46309182
6408,1970-01-01 00:54:59.500,6,Walking,3299532268000.0,2.07,4.06,-3.214402
6409,1970-01-01 00:55:00.000,6,Walking,3300062663000.0,9.08,5.75,-1.3756552
6410,1970-01-01 00:55:00.500,6,Walking,3300512279000.0,6.28,4.25,-2.0294318
6411,1970-01-01 00:55:01.000,6,Walking,3301122264000.0,7.12,4.56,-2.8738933
6413,1970-01-01 00:55:02.000,6,Walking,3302032268000.0,4.48,6.21,-1.2666923
6414,1970-01-01 00:55:02.500,6,Walking,3302532268000.0,12.95,6.78,7.6273947
6415,1970-01-01 00:55:03.000,6,Walking,3303032268000.0,1.92,9.7,-1.3756552
6416,1970-01-01 00:55:03.500,6,Walking,3303542247000.0,13.76,4.02,-2.1111538
6417,1970-01-01 00:55:04.000,6,Walking,3304252116000.0,9.72,9.11,-1.7570249
6418,1970-01-01 00:55:04.500,6,Walking,3304552196000.0,8.08,6.59,1.6889231
6419,1970-01-01 00:55:05.000,6,Walking,3305012340000.0,2.03,6.78,-2.9147544
6420,1970-01-01 00:55:05.500,6,Walking,3305512309000.0,5.18,8.96,0.313268
6421,1970-01-01 00:55:06.000,6,Walking,3306012218000.0,3.91,4.9,-0.08172209
6422,1970-01-01 00:55:06.500,6,Walking,3306542308000.0,4.18,5.9,-1.7297841
6423,1970-01-01 00:55:07.000,6,Walking,3307042308000.0,6.02,4.02,-2.070293
6424,1970-01-01 00:55:07.500,6,Walking,3307542308000.0,5.67,7.12,-1.9885708
6425,1970-01-01 00:55:08.000,6,Walking,3308042308000.0,2.56,7.16,-0.95342433
6426,1970-01-01 00:55:08.500,6,Walking,3308552257000.0,5.67,9.08,-2.2609777
6427,1970-01-01 00:55:09.000,6,Walking,3309002269000.0,3.68,15.94,-3.1054392
6428,1970-01-01 00:55:09.500,6,Walking,3309502238000.0,6.78,6.24,-0.88532263
6429,1970-01-01 00:55:10.000,6,Walking,3310022258000.0,9.72,14.25,-3.9090397
6430,1970-01-01 00:55:10.500,6,Walking,3310522411000.0,4.06,6.24,-6.8237944
6431,1970-01-01 00:55:11.000,6,Walking,3311032237000.0,9.7,14.29,3.8273177
6432,1970-01-01 00:55:11.500,6,Walking,3311532359000.0,4.52,14.9,0.92618364
6434,1970-01-01 00:55:12.500,6,Walking,3312532207000.0,-2.34,7.25,0.7218784
6435,1970-01-01 00:55:13.000,6,Walking,3313032207000.0,4.33,11.84,-2.2609777
6436,1970-01-01 00:55:13.500,6,Walking,3313542338000.0,7.59,13.38,5.134871
6437,1970-01-01 00:55:14.000,6,Walking,3314002269000.0,0.99,10.95,3.0645783
6438,1970-01-01 00:55:14.500,6,Walking,3314502208000.0,-4.21,2.76,-3.173541
6439,1970-01-01 00:55:15.000,6,Walking,3315002238000.0,4.25,10.23,-0.10896278
6440,1970-01-01 00:55:15.500,6,Walking,3315502269000.0,-3.11,2.53,-3.405087
6441,1970-01-01 00:55:16.000,6,Walking,3316013499000.0,1.65,7.93,-0.6537767
6442,1970-01-01 00:55:16.500,6,Walking,3316513133000.0,-0.04,4.21,-3.0237172
6443,1970-01-01 00:55:17.000,6,Walking,3317013164000.0,1.69,7.82,-3.7864566
6444,1970-01-01 00:55:17.500,6,Walking,3317513072000.0,1.76,6.74,-2.3018389
6445,1970-01-01 00:55:18.000,6,Walking,3318013713000.0,3.41,7.06,-0.53119355
6446,1970-01-01 00:55:18.500,6,Walking,3318513286000.0,-1.76,7.59,0.6537767
6447,1970-01-01 00:55:19.000,6,Walking,3319013774000.0,2.11,9.92,-1.1168685
6448,1970-01-01 00:55:19.500,6,Walking,3319513347000.0,-4.71,7.5,-0.53119355
6449,1970-01-01 00:55:20.000,6,Walking,3320013225000.0,0.99,11.8,-0.6946377
6450,1970-01-01 00:55:20.500,6,Walking,3320522288000.0,-5.41,11.92,2.0294318
6451,1970-01-01 00:55:21.000,6,Walking,3321022258000.0,0.65,11.22,-1.920469
6452,1970-01-01 00:55:21.500,6,Walking,3321522258000.0,3.95,15.28,-2.2201166
6453,1970-01-01 00:55:22.000,6,Walking,3322022258000.0,1.92,7.46,-3.1463003
6959,1970-01-01 00:59:35.000,6,Walking,3575002299000.0,4.14,10.19,-3.486809
6960,1970-01-01 00:59:35.500,6,Walking,3575502299000.0,8.54,11.54,1.2258313
6961,1970-01-01 00:59:36.000,6,Walking,3576002299000.0,9.92,13.72,4.7535014
6962,1970-01-01 00:59:36.500,6,Walking,3576502299000.0,2.79,10.65,-0.10896278
6963,1970-01-01 00:59:37.000,6,Walking,3577002330000.0,-2.53,6.7,-3.1054392
6964,1970-01-01 00:59:37.500,6,Walking,3577502269000.0,4.06,8.01,-1.607201
6965,1970-01-01 00:59:38.000,6,Walking,3578002269000.0,5.24,5.67,-4.0588636
6966,1970-01-01 00:59:38.500,6,Walking,3578502299000.0,6.7,12.91,-5.09401
6967,1970-01-01 00:59:39.000,6,Walking,3579002269000.0,-4.06,9.62,-2.9556155
